,Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,2021-02-28,United Kingdom,2021-03-01 05:23:01,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
1,2021-02-28,United Kingdom,2021-03-01 05:23:01,32.3078,-64.7505,705,12,682.0,11.0,"Bermuda, United Kingdom",1132.1118301671672,1.702127659574468
2,2021-02-28,United Kingdom,2021-03-01 05:23:01,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
3,2021-02-28,United Kingdom,2021-03-01 05:23:01,19.3133,-81.2546,444,2,413.0,29.0,"Cayman Islands, United Kingdom",675.5934266585514,0.4504504504504505
4,2021-02-28,United Kingdom,2021-03-01 05:23:01,49.3723,-2.3644,4038,86,3928.0,24.0,"Channel Islands, United Kingdom",2368.342336318688,2.129767211490837
5,2021-02-28,United Kingdom,2021-03-01 05:23:01,52.3555,-1.1743,3658352,108323,0.0,3550029.0,"England, United Kingdom",6535.432283143851,2.960978057879613
6,2021-02-28,United Kingdom,2021-03-01 05:23:01,-51.7963,-59.5236,54,0,46.0,8.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
7,2021-02-28,United Kingdom,2021-03-01 05:23:01,36.1408,-5.3536,4239,93,4124.0,22.0,"Gibraltar, United Kingdom",12581.995191594197,2.193913658881812
8,2021-02-28,United Kingdom,2021-03-01 05:23:01,54.2361,-4.5481,484,25,411.0,48.0,"Isle of Man, United Kingdom",569.1974785962933,5.1652892561983474
9,2021-02-28,United Kingdom,2021-03-01 05:23:01,16.742498,-62.187366000000004,20,1,13.0,6.0,"Montserrat, United Kingdom",400.0800160032006,5.0
10,2021-02-28,United Kingdom,2021-03-01 05:23:01,54.7877,-6.4923,112493,2055,0.0,110438.0,"Northern Ireland, United Kingdom",5978.58205782313,1.8267803329984975
11,2021-02-28,United Kingdom,2021-03-01 05:23:01,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
12,2021-02-28,United Kingdom,2021-03-01 05:23:01,56.4907,-4.2026,202084,7131,0.0,194953.0,"Scotland, United Kingdom",3698.9365401863342,3.528730626868035
13,2021-02-28,United Kingdom,2021-03-01 05:23:01,21.69400000000001,-71.7979,2114,14,1873.0,227.0,"Turks and Caicos Islands, United Kingdom",5459.992768221499,0.6622516556291391
14,2021-02-28,United Kingdom,2021-03-01 05:23:01,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
15,2021-02-28,United Kingdom,2021-03-01 05:23:01,52.1307,-3.7837,203625,5340,0.0,198285.0,"Wales, United Kingdom",6487.765245650927,2.6224677716390423
16,2021-03-01,United Kingdom,2021-03-02 05:23:30,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
17,2021-03-01,United Kingdom,2021-03-02 05:23:30,32.3078,-64.7505,707,12,682.0,13.0,"Bermuda, United Kingdom",1135.3234949335988,1.6973125884016973
18,2021-03-01,United Kingdom,2021-03-02 05:23:30,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
19,2021-03-01,United Kingdom,2021-03-02 05:23:30,19.3133,-81.2546,447,2,415.0,30.0,"Cayman Islands, United Kingdom",680.1582471089472,0.44742729306487694
20,2021-03-01,United Kingdom,2021-03-02 05:23:30,49.3723,-2.3644,4038,86,3928.0,24.0,"Channel Islands, United Kingdom",2368.342336318688,2.129767211490837
21,2021-03-01,United Kingdom,2021-03-02 05:23:30,52.3555,-1.1743,3663090,108422,0.0,3554668.0,"England, United Kingdom",6543.8964435520165,2.959850836315788
22,2021-03-01,United Kingdom,2021-03-02 05:23:30,-51.7963,-59.5236,54,0,46.0,8.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
23,2021-03-01,United Kingdom,2021-03-02 05:23:30,36.1408,-5.3536,4239,93,4125.0,21.0,"Gibraltar, United Kingdom",12581.995191594197,2.193913658881812
24,2021-03-01,United Kingdom,2021-03-02 05:23:30,54.2361,-4.5481,486,25,411.0,50.0,"Isle of Man, United Kingdom",571.5495342929721,5.1440329218107
25,2021-03-01,United Kingdom,2021-03-02 05:23:30,16.742498,-62.187366000000004,20,1,13.0,6.0,"Montserrat, United Kingdom",400.0800160032006,5.0
26,2021-03-01,United Kingdom,2021-03-02 05:23:30,54.7877,-6.4923,112631,2057,0.0,110574.0,"Northern Ireland, United Kingdom",5985.9162414966,1.8263177988298072
27,2021-03-01,United Kingdom,2021-03-02 05:23:30,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
28,2021-03-01,United Kingdom,2021-03-02 05:23:30,56.4907,-4.2026,202470,7131,0.0,195339.0,"Scotland, United Kingdom",3706.00186700346,3.5220032597421835
29,2021-03-01,United Kingdom,2021-03-02 05:23:30,21.69400000000001,-71.7979,2114,14,1873.0,227.0,"Turks and Caicos Islands, United Kingdom",5459.992768221499,0.6622516556291391
30,2021-03-01,United Kingdom,2021-03-02 05:23:30,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
31,2021-03-01,United Kingdom,2021-03-02 05:23:30,52.1307,-3.7837,203818,5343,0.0,198475.0,"Wales, United Kingdom",6493.914484164915,2.6214563973741276
32,2021-03-02,United Kingdom,2021-03-03 05:23:28,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
33,2021-03-02,United Kingdom,2021-03-03 05:23:28,32.3078,-64.7505,713,12,682.0,19.0,"Bermuda, United Kingdom",1144.958489232894,1.6830294530154275
34,2021-03-02,United Kingdom,2021-03-03 05:23:28,18.4207,-64.64,153,1,131.0,21.0,"British Virgin Islands, United Kingdom",506.002579620994,0.6535947712418301
35,2021-03-02,United Kingdom,2021-03-03 05:23:28,19.3133,-81.2546,447,2,415.0,30.0,"Cayman Islands, United Kingdom",680.1582471089472,0.44742729306487694
36,2021-03-02,United Kingdom,2021-03-03 05:23:28,49.3723,-2.3644,4039,86,3939.0,14.0,"Channel Islands, United Kingdom",2368.9288500225807,2.129239910869027
37,2021-03-02,United Kingdom,2021-03-03 05:23:28,52.3555,-1.1743,3668620,108729,0.0,3559891.0,"England, United Kingdom",6553.775465725331,2.963757489192121
38,2021-03-02,United Kingdom,2021-03-03 05:23:28,-51.7963,-59.5236,54,0,46.0,8.0,"Falkland Islands (Malvinas), United Kingdom",1550.387596899225,0.0
39,2021-03-02,United Kingdom,2021-03-03 05:23:28,36.1408,-5.3536,4243,93,4127.0,23.0,"Gibraltar, United Kingdom",12593.86779852186,2.1918453924110297
40,2021-03-02,United Kingdom,2021-03-03 05:23:28,54.2361,-4.5481,494,25,411.0,58.0,"Isle of Man, United Kingdom",580.9577570796878,5.060728744939271
41,2021-03-02,United Kingdom,2021-03-03 05:23:28,16.742498,-62.187366000000004,20,1,13.0,6.0,"Montserrat, United Kingdom",400.0800160032006,5.0
42,2021-03-02,United Kingdom,2021-03-03 05:23:28,54.7877,-6.4923,112780,2059,0.0,110721.0,"Northern Ireland, United Kingdom",5993.835034013606,1.825678311757404
43,2021-03-02,United Kingdom,2021-03-03 05:23:28,-7.9467,-14.3559,4,0,4.0,0.0,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
44,2021-03-02,United Kingdom,2021-03-03 05:23:28,56.4907,-4.2026,203012,7164,0.0,195848.0,"Scotland, United Kingdom",3715.9226108762105,3.5288554371170178
45,2021-03-02,United Kingdom,2021-03-03 05:23:28,21.69400000000001,-71.7979,2115,14,1876.0,225.0,"Turks and Caicos Islands, United Kingdom",5462.5755462575535,0.6619385342789598
46,2021-03-02,United Kingdom,2021-03-03 05:23:28,,,0,0,0.0,0.0,"Unknown, United Kingdom",,
47,2021-03-02,United Kingdom,2021-03-03 05:23:28,52.1307,-3.7837,203988,5344,0.0,198644.0,"Wales, United Kingdom",6499.330911871534,2.6197619467811832
48,2021-03-03,United Kingdom,2021-03-04 05:24:24,18.2206,-63.0686,18,0,18.0,0.0,"Anguilla, United Kingdom",119.98400213304892,0.0
