,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,18,0,18.0,0.0,119.98400213304892,0.0
1,705,12,682.0,11.0,1132.1118301671672,1.702127659574468
2,153,1,131.0,21.0,506.002579620994,0.6535947712418301
3,444,2,413.0,29.0,675.5934266585514,0.4504504504504505
4,4038,86,3928.0,24.0,2368.342336318688,2.129767211490837
5,3658352,108323,0.0,3550029.0,6535.432283143851,2.960978057879613
6,54,0,46.0,8.0,1550.387596899225,0.0
7,4239,93,4124.0,22.0,12581.995191594197,2.193913658881812
8,484,25,411.0,48.0,569.1974785962933,5.1652892561983474
9,20,1,13.0,6.0,400.0800160032006,5.0
10,112493,2055,0.0,110438.0,5978.58205782313,1.8267803329984973
11,4,0,4.0,0.0,70.65889418830595,0.0
12,202084,7131,0.0,194953.0,3698.9365401863342,3.528730626868035
13,2114,14,1873.0,227.0,5459.992768221499,0.6622516556291391
14,0,0,0.0,0.0,,
15,203625,5340,0.0,198285.0,6487.765245650927,2.6224677716390423
16,18,0,18.0,0.0,119.98400213304892,0.0
17,707,12,682.0,13.0,1135.3234949335988,1.6973125884016973
18,153,1,131.0,21.0,506.002579620994,0.6535947712418301
19,447,2,415.0,30.0,680.1582471089472,0.44742729306487694
20,4038,86,3928.0,24.0,2368.342336318688,2.129767211490837
21,3663090,108422,0.0,3554668.0,6543.8964435520165,2.959850836315788
22,54,0,46.0,8.0,1550.387596899225,0.0
23,4239,93,4125.0,21.0,12581.995191594197,2.193913658881812
24,486,25,411.0,50.0,571.5495342929721,5.1440329218107
25,20,1,13.0,6.0,400.0800160032006,5.0
26,112631,2057,0.0,110574.0,5985.9162414966,1.8263177988298072
27,4,0,4.0,0.0,70.65889418830595,0.0
28,202470,7131,0.0,195339.0,3706.00186700346,3.5220032597421835
29,2114,14,1873.0,227.0,5459.992768221499,0.6622516556291391
30,0,0,0.0,0.0,,
31,203818,5343,0.0,198475.0,6493.914484164915,2.621456397374128
32,18,0,18.0,0.0,119.98400213304892,0.0
33,713,12,682.0,19.0,1144.958489232894,1.6830294530154275
34,153,1,131.0,21.0,506.002579620994,0.6535947712418301
35,447,2,415.0,30.0,680.1582471089472,0.44742729306487694
36,4039,86,3939.0,14.0,2368.9288500225807,2.129239910869027
37,3668620,108729,0.0,3559891.0,6553.775465725331,2.9637574891921212
38,54,0,46.0,8.0,1550.387596899225,0.0
39,4243,93,4127.0,23.0,12593.86779852186,2.1918453924110297
40,494,25,411.0,58.0,580.9577570796878,5.060728744939271
41,20,1,13.0,6.0,400.0800160032006,5.0
42,112780,2059,0.0,110721.0,5993.835034013606,1.8256783117574038
43,4,0,4.0,0.0,70.65889418830595,0.0
44,203012,7164,0.0,195848.0,3715.9226108762105,3.5288554371170178
45,2115,14,1876.0,225.0,5462.5755462575535,0.6619385342789598
46,0,0,0.0,0.0,,
47,203988,5344,0.0,198644.0,6499.330911871534,2.6197619467811832
48,18,0,18.0,0.0,119.98400213304892,0.0
49,713,12,682.0,19.0,1144.958489232894,1.6830294530154275
50,153,1,131.0,21.0,506.002579620994,0.6535947712418301
51,447,2,415.0,30.0,680.1582471089472,0.44742729306487694
52,4040,86,3944.0,10.0,2369.515363726473,2.1287128712871293
53,3674028,108993,0.0,3565035.0,6563.43654202068,2.966580548651235
54,54,0,51.0,3.0,1550.387596899225,0.0
55,4243,93,4127.0,23.0,12593.86779852186,2.1918453924110297
56,511,25,416.0,70.0,600.9502305014582,4.892367906066537
57,20,1,13.0,6.0,400.0800160032006,5.0
58,113006,2063,0.0,110943.0,6005.8460884353735,1.8255667840645629
59,4,0,4.0,0.0,70.65889418830595,0.0
60,203555,7371,0.0,196184.0,3725.8616587044457,3.6211343371570335
61,2132,14,1940.0,178.0,5506.4827728705,0.6566604127579737
62,0,0,0.0,0.0,,
63,204196,5356,0.0,198840.0,6505.958070477282,2.6229700875629303
64,18,0,18.0,0.0,119.98400213304892,0.0
65,718,12,685.0,21.0,1152.9876511489729,1.6713091922005572
66,153,1,131.0,21.0,506.002579620994,0.6535947712418301
67,448,2,425.0,21.0,681.6798539257454,0.44642857142857145
68,4041,86,3948.0,7.0,2370.101877430366,2.1281860925513487
69,3679671,109195,0.0,3570476.0,6573.517432097354,2.967520737587681
70,54,0,51.0,3.0,1550.387596899225,0.0
71,4243,93,4128.0,22.0,12593.86779852186,2.1918453924110297
72,546,25,416.0,105.0,642.1112051933393,4.5787545787545785
73,20,1,13.0,6.0,400.0800160032006,5.0
74,113169,2066,0.0,111103.0,6014.508928571428,1.825588279475828
75,4,0,4.0,0.0,70.65889418830595,0.0
76,204055,7398,0.0,196657.0,3735.013636446836,3.6254931268530544
77,2161,14,1976.0,171.0,5581.383335916112,0.6478482184173994
78,0,0,0.0,0.0,,
79,204463,5366,0.0,199097.0,6514.465048110623,2.6244357169756882
80,18,0,18.0,0.0,119.98400213304892,0.0
81,722,12,688.0,22.0,1159.4109806818365,1.6620498614958448
82,153,1,131.0,21.0,506.002579620994,0.6535947712418301
83,451,2,426.0,23.0,686.2446743761412,0.4434589800443459
84,4041,86,3948.0,7.0,2370.101877430366,2.1281860925513487
